CODE,NAME,POPULATION
41650,포천시,143974
41670,여주시,114081
41800,연천군,41711
41820,가평군,61773
41830,양평군,124050
51,강원특별자치도,1531390
51110,춘천시,286935
51130,원주시,361268
51150,강릉시,210122
51170,동해시,88951
51190,태백시,38752
51210,속초시,82326
51230,삼척시,63086
51720,홍천군,67543
51730,횡성군,46500
51750,영월군,37561
51760,평창군,40693
51770,정선군,34532
51780,철원군,41554
51790,화천군,23116
51800,양구군,21255
51810,인제군,32118
51820,고성군,27315
51830,양양군,27763
43,충청북도,1594337
43110,청주시,851653
43112,서원구,187160
43114,청원구,191595
43111,상당구,199909
43113,흥덕구,272989
43130,충주시,207998
43150,제천시,130858
43720,보은군,31168
43730,옥천군,49164
43740,영동군,44436
43745,증평군,37407
43750,진천군,85754
43760,괴산군,36625
43770,음성군,91546
43800,단양군,27728
44,충청남도,2127077
44270,당진시,169579
44130,천안시,657839
44131,동남구,257591
44133,서북구,400248
44150,공주시,102537
44180,보령시,96334
44200,아산시,339517
44210,서산시,176125
44230,논산시,111110
44250,계룡시,46109
44710,금산군,50255
44760,부여군,61414
44770,서천군,49385
44790,청양군,30117
44800,홍성군,97062
44810,예산군,78744
44825,태안군,60950
45,전라북도,1759815
45110,전주시,644909
45111,완산구,328772
45113,덕진구,316137
45118,전주시효자출장소,0
45130,군산시,260675
45140,익산시,270993
45145,익산시함열출장소,0
45180,정읍시,104088
45190,남원시,77135
45210,김제시,81711
45710,완주군,96887
45720,진안군,24601
45730,무주군,23370
45740,장수군,21084
45750,임실군,26140
45770,순창군,26760
45790,고창군,51836
45800,부안군,49626
46,전라남도,1808339
46110,목포시,214580
46130,여수시,272503
46150,순천시,278807
46170,나주시,117142
46230,광양시,152007
46710,담양군,45474
46720,곡성군,26964
46730,구례군,24419
46770,고흥군,61353
46780,보성군,37967
46790,화순군,61506
46800,장흥군,35201
46810,강진군,32897
46820,해남군,65004
46830,영암군,52466
46840,무안군,90455
46860,함평군,30682
46870,영광군,52058
46880,장성군,42665
46890,완도군,46967
46900,진도군,29096
46910,신안군,38126
47,경상북도,2561623
47110,포항시,493261
47111,남구,226685
47113,북구,266576
47130,경주시,248335
47150,김천시,138222
47170,안동시,153436
47190,구미시,406258
47210,영주시,100196
47230,영천시,100526
47250,상주시,94254
47280,문경시,69242
47290,경산시,267144
47730,의성군,50035
47750,청송군,24088
47760,영양군,15799
47770,영덕군,34263
47820,청도군,41486
47830,고령군,30123
47840,성주군,42292
47850,칠곡군,111258
47900,예천군,55574
47920,봉화군,29921
47930,울진군,46766
47940,울릉군,9144
48,경상남도,3258309
48120,창원시,1012410
48121,의창구,214560
48123,성산구,246175
48125,마산합포구,177926
48127,마산회원구,181586
48129,진해구,192163
48170,진주시,342174
48220,통영시,121103
48240,사천시,108814
48245,사천남양출장소,0
48250,김해시,533054
48252,장유출장소,0
48270,밀양시,102341
48310,거제시,234467
48330,양산시,354877
48332,양산시웅상출장소,0
48720,의령군,25672
48730,함안군,60572
48740,창녕군,57499
48820,고성군,49614
48840,남해군,41012
48850,하동군,41909
48860,산청군,33959
48870,함양군,37117
48880,거창군,60184
48890,합천군,41531
50,제주특별자치도,676489
50110,제주시,492379
50130,서귀포시,184110
